Club,Season,Division,League,League,FA Cup,FA Cup,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals
Leeds United,1925–26,First Division,12,0,0,0,12,0
Leeds United,1926–27,First Division,42,0,3,0,45,0
Leeds United,1927–28,Second Division,38,0,1,0,39,0
Leeds United,1928–29,First Division,39,0,2,0,41,0
Leeds United,1929–30,First Division,16,0,2,0,18,0
Leeds United,1930–31,First Division,38,0,3,0,41,0
Leeds United,1931–32,Second Division,32,0,0,0,32,0
Leeds United,1932–33,First Division,30,0,4,0,30,4
Leeds United,1933–34,First Division,0,0,0,0,0,0
Leeds United,Total,Total,247,0,15,0,262,0
Port Vale,1934–35,Second Division,42,0,1,0,43,0
Port Vale,1935–36,Second Division,40,0,3,0,43,0
Port Vale,Total,Total,82,0,4,0,86,0
Career Total,Career Total,Career Total,329,0,19,0,348,0
