Class,Image,Type,Top speed,Top speed,Number,Built
Class,Image,Type,mph,km/h,Number,Built
101,101692 at Arley.JPG,Diesel multiple unit,75,120,6,1956-1959
142,-,Diesel multiple unit,75,120,79,1985-1987
150,-,Diesel multiple unit,75,120,27,1984-1987
153,153316 at Carlisle.JPG,Diesel multiple unit,75,120,8,1987-1988
156,156427 at Carlisle.JPG,Diesel multiple unit,200,320,18,1987-1989
158,158751 at Westbury.JPG,Diesel multiple unit,90,145,8,1989-1992
175 Coradia,-,Diesel multiple unit,100,160,27,1999-2001
309,-,electric multiple unit,100,161,1,1962-1963
322,-,Electric multiple unit,100,160,4,1990
323,323225 at Manchester Piccadilly.JPG,Electric multiple unit,90,145,17,2050-2060
