no,name,mi from kingston,km from kingston,parish,length feet,length meters
1,scotts pass,44.25,71.2,clarendon,70,21.3
2,scotts pass,44.5,71.6,clarendon,170,51.8
3,comfort hall,65.5,105.4,st elizabeth,688,209.1
4,balaclava,70.0,112.6,st elizabeth,348,106.1
5,highworth,84.0,135.2,st elizabeth,182,55.5
6,y s,84.5,136.0,st elizabeth,218,66.4
7,ipswich,86.25,138.8,st elizabeth,855,260.6
8,unnamed,87.75,141.2,st james,555,164.6
9,merrywood,88.5,142.4,st james,362,115.8
10,anchovy,104.5,168.2,st james,102,31.1
11,ramble,108.0,173.8,st james,182,55.5
12,bogue hill,108.5,174.6,st james,1276,388.9
